,Prompt,Generated Text,Model Score
0,This movie,"This movie is also quite good (if not a fantastic one). The acting is good. A wonderful storyline and the acting overall is quite entertaining (except for a bit for the first time ever, which can be a surprise for anyone who has seen the",2.480989694595337
1,This movie,"This movie is great, and I will probably never stop watching it when it comes up, though I hope it grows as an art piece. It brings the magic of the music to any movie in my collection. All in all, a really great film",2.624342918395996
2,This movie,"This movie has to have such a high degree of atmosphere, it keeps you immersed, as it gets more exciting to watch as you watch. It's so atmospheric, and if you are a great fan yourself, I would suggest you check out it on",2.33551287651062
3,Director,"Director to the top of the league. I have not seen an other movie in this type of movie and thought it was an extremely entertaining ride! It does a brilliant job showing how different our city of Bakersfield is from its surroundings, we are",2.4553399085998535
4,Director,Director of this movie. If you want an amazing experience when a movie isn't one with a fantastic plot you can sit back into the theatre and feel something fresh in your eyes and the excitement that is in you. I am a huge fan of his,2.1081466674804688
5,Director,"Director I feel that there is a lot going on this film without a single scene or plot twist that just gets you thinking outside your comfort zones when it comes to life. The actors make an amazing performance and the film is unique, although the performances by",2.145772933959961
6,Actors,"Actors in the future? I guess this film is actually a big part of that, although not everyone will be like, 'That's my favourite and it is well made!' so it has a good soundtrack, music, a great storyline and some",2.5070536136627197
7,Actors,"Actors such as Paul Thomas Anderson. And it can be an eye opener for a new movie. The atmosphere is so good. I would say that this is good because it's an original one, which really adds the atmosphere you get to see some",2.42057466506958
8,Actors,"Actors are quite good the way they do in this one; as usual a great soundtrack. The story, while the action scenes have been good, have a lot of moments that I love watching them in the movie.<br /><br />The",2.3319900035858154
9,The,"The androids look great in each other and the characters well developed. After watching a couple episodes I'm hooked on this one. There's a special twist with a good mix of humor, and a wonderful, great mystery, which you will get",2.5633392333984375
10,The,"The first one I had seen was with the friends from the bar with us. After one day, it had been shot on a great set so we caught it at its original location. A good way to go and watch movies with a good soundtrack!",2.2142083644866943
11,The,"The Aardman team of actors and directors combine some of Hollywood 'thrillers', acting in many different styles and techniques and bringing a whole variety of themes to life throughout its entire run. And we can see the story unfolding as people try their",2.4023663997650146
12,Cinema,"Cinema and Screenplay has a good chemistry that can be combined with this film and will get the viewer engaged and the characters to move through life. One of the best performances on the planet, that i could say is the BEST film of it",2.567387342453003
13,Cinema,"Cinema, this beautiful film is a pleasure to sit in a small cinema with your family as this movie will change the way you view cinema and enjoy it more. This is an amazing one to see, you will be amazed if your a big",2.549563407897949
14,Cinema,"Cinema, and film, is really a pleasure to be with. The sets are impressive, though the photography is an original piece. It will bring to mind a film that I will enjoy, one I have heard and seen many times. A",2.500507116317749
15,Movie,Movie. The film certainly is well written and the film is one that I highly recommend taking out anytime you're a film lover. You never want to forget it and don't hesitate to order. I have been so blown away by my purchase. This,2.3926000595092773
16,Movie,"Movie the movie at its best as a series. I loved the whole series and you can tell, it has it's different in many ways, even though with all the changes. And you have more to say about characters. You have to love this",2.371256113052368
17,Movie,"Movie is a nice thing, and if there's any kind of a soundtrack, it's well worth trying. Overall, I enjoyed each of the songs well. A great evening movie of my life. The cinematographic shots are well cast, the",2.574079751968384
18,Plot summary,"Plot summary is the way the movie develops the plot; the story is very well developed. In the film, there are three main characterizations, one character, but also two people, because they are similar: each of them has a relationship with each",2.239546775817871
19,Plot summary,"Plot summary : This one is also a fun one too, the songs are perfect. They are well done, each song has a really good soundtrack, I liked the music which gives an edge to that track. I give the soundtrack the same feel,",2.496361494064331
20,Plot summary,"Plot summary from the book: <br /><br />This is the movie, which really makes it easy to make the film and keep watch for those of you who will be in for a viewing experience. This is a movie with an atmosphere of",2.3222694396972656
21,Cinematography,"Cinematography - The Director's vision in directing the movie, is so well executed, I feel it's really worth your attention. In this movie it is well, and it has an outstanding look, which I'm sure the audience is eager to",2.532344341278076
22,Cinematography,Cinematography is great even if it does take its time for it to make it's way into print. The dialog works well enough in this version to allow for a well-rounded approach that's a lot different from the usual Hollywood dialog. It,2.2505717277526855
23,Cinematography,"Cinematography is fantastic, you'll want it to look amazing. I think this one does not disappoint and does provide some very well thought out cinematography to the rest of the action. Also, the effects are terrific. The scenes are amazing and",2.456224203109741
24,Genre,"Genre. It's good to get this movie done on film and on screen while enjoying it's excellent production and the cinematography is very very good, I was thrilled to see it on a few screens, but it was worth the time it took",2.3252553939819336
25,Genre,"Genre is one of my favourite directors/actors this year so I just watch him and his film together to see what the production team can do to make the same quality of atmosphere it has. the story revolves around our two boys, David and",2.3341808319091797
26,Genre,"Genre has some interesting sequences where the characters meet and battle with some great foes, such as a dog and wolf. These scenes make this an interesting movie, and one that I think has potential, if the fans of many of those movies will continue",2.0220165252685547
27,Script,"Script a couple of episodes where it makes me feel sooooo happy. They also make all the episodes better than most episodes. And it's so original, so different from what the other movies on the site. I really liked this episode too, too",2.2839531898498535
28,Script,"Script, is one of his most compelling works and the film gives us an even better, detailed, and powerful story to explore. He is well worth seeing as it explores the human connection to nature, giving us a different view on life.<br /",2.5886871814727783
29,Script,"Script on television in the 1990s. It is truly a unique and moving watch that has a real ""girly edge"", I found this to be a great one and I will be continuing with the film and this DVD for a period of a",2.4365386962890625
30,Soundtrack,"Soundtrack. It has the whole soundtrack and there's also the original ""The Sound"", a beautiful concert series. I was impressed with the cinematography especially of the actors and showgirls. The soundtrack makes this film an excellent experience. All the music",2.5301356315612793
31,Soundtrack,Soundtrack with the most powerful music! I really think this track is a great blend of good and evil...a little bit eerie in some spots and just right out there at the end where every bit helps as it's a bit dark and very atmospheric,2.4768309593200684
32,Soundtrack,"Soundtrack. The song does a well job at making the atmosphere, especially in the finale, one of the most moving moments in what I believe was a very moving documentary. It goes beyond that to make you see all your heart as the people who",2.406944751739502
33,scene,"scene (as the protagonist), but it's also a great soundtrack in this great film's opening credits. One of my very favorites and also the one most highly recommended. It also has some pretty great characters that I have seen played before, all with",2.598919153213501
34,scene,"scene, and she plays it a lot wonderfully with the film and its music, which gives her a wide variety and depth.<br /><marissa.schilling@nytimesn.com; 5 stars, 7 reviews (7 total) and",2.5723187923431396
35,scene,"scene. A well written screenplay, and excellent acting by the cast is excellent. While you may like the music at the end and the background, for now I would recommend watching it. I'm sure you can't miss the story and characters with this",2.3494772911071777
36,Character development,"Character development of the three characters and story elements is an interesting choice. The script is well done, the actors are truly talented, it was a touching film and the acting are well handled well,the actors were very great and always bring the audience into",2.5353524684906006
37,Character development,"Character development throughout the film was top notch with an excellent blend of dark and realistic action and beautiful landscapes.The art is fantastic throughout and all the characters are great. In a perfect story set in this exciting world, the story builds with the best characters",2.6573307514190674
38,Character development,"Character development of the movie, the characters grow from a somewhat believable character. A few have good chemistry with each other, as does the actor who has a few scenes with the cast in particular. For the whole movie is a well directed, enjoyable watch",2.4114582538604736
39,Cinematic techniques,Cinematic techniques are beautiful. Most importantly it gives a good message for everyone involved and gives the audiences a feeling of mystery in the film and overall the story unfolds with incredible power and drama. The performances by actors are also very excellent. This film,2.611740827560425
40,Cinematic techniques,"Cinematic techniques and a compelling storyline that makes it worth the rental. Recommended as one to learn and watch the world around him! The film is well-paced, well thought- out with an excellent ending, a nice twist for all involved.",2.6427924633026123
41,Cinematic techniques,"Cinematic techniques, including a beautiful cast, beautifully set lighting and the film itself; this is a perfect viewing of the true spirit within a movie. Highly recommended. For the casual person or the curious with family or friends and/or special occasions",2.649414539337158
42,Screenplay,"Screenplay, you are probably going to be glad for this movie. And it's one of the reasons why you see the whole group as friends, especially when they come together in public and make a good meal.<br /><br />I think",1.6739473342895508
43,Screenplay,"Screenplay - I have never been a true believer with this film. The cast's performances are wonderful and entertaining and we watch each one with the film and it continues to show its characters each day and the events that it goes on, to the end",2.555384874343872
