,Prompt,Generated Text,Model Score
0,This movie,"This movie still has a strong appeal and my favorite characters (like the first one) work perfectly in the story. I found myself watching the whole movie when I woke and the movie started to show up in one way, then the second one got even",2.392751932144165
1,This movie,"This movie, however, was great. I did not even think of the film as being as serious but this one, if not better then it, can do that. As a lot of it has me on the same side as the whole cast and",2.254852771759033
2,This movie,"This movie will definitely get my attention, a lot more so than I have already seen on this site, the best one of theirs. It may have it's advantages for those fans and it is an absolutely captivating story to follow, and of course",2.569821834564209
3,Director,"Director. In a way, she was good for a movie, with all that other films that you are looking forward to coming in with. It's a story that reminds you what your other movies will be like, and I was surprised with the ending",2.269862651824951
4,Director,"Director the whole movie and is very powerful as well, it will appeal to many people. <br /><br />The actors were excellent, as you would have hoped they would be very talented and if they could not take the movie to its new",2.312513828277588
5,Director,"Director. We also liked this film well. The story that it contains is really well done from all the major actors, a wonderful film that has brought together actors for many years, from actors to actors and artists, and it has a very realistic feel",2.6266982555389404
6,Actors,"Actors, the actors are the best I've ever heard them on and most of the ones that come with are fantastic, as I saw one time when in Paris I watched them filming in the film in which the lead actor was in full white.",2.402099847793579
7,Actors,"Actors are great performances, actors are superb. Great characters. My favorite (as you can see) was the two of us who was there when the car was moving. It made my life much happier!! I loved it. And I thought it",2.587888717651367
8,Actors,"Actors and directors, as well as other talented performers. We are given a good opportunity to meet the cast and the people behind them... this is a great film for fans and a fun one too. I would absolutely recommend it... the story of",2.553962469100952
9,The,"The is a unique and entertaining book that's worth a look (it is full of surprises). As a young writer, there are great things to look at, although there's also great ways to bring it out of your head. It is very enjoyable",2.5669140815734863
10,The,"The story is definitely entertaining. I'd like to see another movie like this just like a big one with the amazing performances and some amazing special action, I highly recommend both. A very original and well directed. It was brilliant! A wonderful movie with",2.6558048725128174
11,The,"The most impressive character is his wife of five years: the great one-time photographer, who I'll always call as ""the real one."" What I enjoy most is that he captures the moment when, in a beautiful, romantic way of painting,",2.4513635635375977
12,Cinema,"Cinema in France: ""There's an old proverb, you can't be a genius if you're not in Paris, he's not just good at a few things like those"". The film, in many respects at first look a good movie",1.4218714237213135
13,Cinema,"Cinema of its kind! The sound is outstanding, the story interesting and the characters are all perfect. But the acting is excellent too. You will love this film, you will adore it, it is just amazing it made me laugh so,",2.5358147621154785
14,Cinema,"Cinema - I saw this when it hit the VHS (and I rented it!). I went right on to it in late February. What an experience, even on the last night watching the new video of the very good film and still having",2.1776185035705566
15,Movie,"Movie in the late 70's as it had become an important source for a great musical with many musical selections. This particular film captures this time period well, and it will be seen and heard for nearly 20 more years, which it has been since its",2.435417413711548
16,Movie,"Movie I had heard it for a chance. I was surprised it was the first such film that was as original and well-loved! This film and film stand out the film. As you see this film, I am in love with this movie",2.2099764347076416
17,Movie,"Movie is also well thought and executed, with a really funny, great, complex and powerful story which will make you watch your friends, admire their beauty, and see how it works! I am a HUGE fan of movies that are so different and entertaining",2.625563383102417
18,Plot summary,"Plot summary, we had a couple of really interesting events, and in the final portion, you get the impression of this wonderful film and the rest of his wonderful acting. The story plays well - this movie was a great movie for those who haven't",2.5234713554382324
